L2,rank,term,tfidf_score,raw_count,document_count,document_frequency
Music,22,lok,0.030088716413544832,6,2,0.2222222222222222
Music,23,modern,0.029149535240533677,125,7,0.7777777777777778
Music,24,holes,0.02870554951469474,178,3,0.3333333333333333
Music,25,chinese_musical,0.027329460285156967,163,5,0.5555555555555556
Education,1,music,0.0684508283156498,97,2,0.4
Education,2,hall,0.05286756039361066,23,1,0.2
Education,3,scholars,0.051490830657082494,51,3,0.6
Education,4,chih,0.0406745344365762,42,1,0.2
Education,5,plato,0.04018991060729936,46,1,0.2
Education,6,college,0.03970609314046724,41,1,0.2
Education,7,rooms,0.034478843734963474,15,1,0.2
Education,8,essays,0.03223117981585081,18,2,0.4
Education,9,japanese,0.03184057752416035,32,3,0.6
Education,10,officers,0.03173263281203077,24,3,0.6
Education,11,japan,0.03066790011614793,31,3,0.6
Education,12,science,0.02939658235147664,31,3,0.6
Education,13,language,0.02898985781942,39,3,0.6
Education,14,art,0.028838627339416143,57,4,0.8
Education,15,study,0.028290551000477133,37,4,0.8
Education,16,beauty,0.027935439175915153,38,2,0.4
Education,17,examination,0.027483474844706708,29,5,1.0
Education,18,sciences,0.02719934513356993,35,4,0.8
Education,19,cells,0.02528448540563988,11,1,0.2
Education,20,prince,0.02490603577678355,32,4,0.8
Education,21,dutch,0.024530201464251954,20,2,0.4
Education,22,physics,0.024530201464251954,20,2,0.4
Education,23,class,0.024530201464251954,20,2,0.4
Education,24,natural,0.02369323258716529,25,3,0.6
Education,25,imperial,0.022614857331442525,29,5,1.0
